Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family,Meaning,Onset for first letter,Onset for second letter
including,17463,9587,plus,2,1,3,include,"{'Verb': ['have as a part, be made up out of', 'consider as part of something', 'add as part of something else; put in as part of a set, group, or category', 'allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of']}",['including'],including
simple,16577,312,clean,1,3,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
simple,16577,474,light,3,2,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
simple,16577,532,quiet,2,3,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
simple,16577,3263,effortless,-1,1,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
simple,16577,4969,elementary,4,3,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
simple,16577,5165,manageable,-1,1,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
simple,16577,7143,unmistakable,-1,1,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
simple,16577,8549,transparent,4,3,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
simple,16577,10175,cinch,-1,2,1,simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['dimple', 'pimple', 'rimple', 'simple', 'wimple']",cample;sample;wample;dimple;pimple;rimple;simple;wimple;dumple;pumple;rumple;sumple
